날짜,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
2020-01-20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-24,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-01-25,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-01-26,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
2020-01-27,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
2020-01-28,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
2020-01-29,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
2020-01-30,3,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0
2020-01-31,4,0,0,1,0,0,0,0,5,0,0,0,1,0,0,0,0
2020-02-01,4,0,0,1,0,0,0,0,6,0,0,0,1,0,0,0,0
2020-02-02,5,0,0,1,0,0,0,0,8,0,0,0,1,0,0,0,0
2020-02-03,5,0,0,1,0,0,0,0,8,0,0,0,1,0,0,0,0
2020-02-04,5,0,0,1,1,0,0,0,8,0,0,0,1,0,0,0,0
2020-02-05,5,0,0,1,1,0,0,0,10,0,0,0,1,0,0,0,0
2020-02-06,10,0,0,1,1,0,0,0,10,0,0,0,1,0,0,0,0
2020-02-07,11,0,0,1,1,0,0,0,10,0,0,0,1,0,0,0,0
2020-02-08,11,0,0,1,1,0,0,0,10,0,0,0,1,0,0,0,0
2020-02-09,14,0,0,1,1,0,0,0,10,0,0,0,1,0,0,0,0
2020-02-10,14,0,0,1,1,0,0,0,10,0,0,0,1,0,0,0,0
2020-02-11,14,0,0,1,1,0,0,0,12,0,0,0,1,0,0,0,0
2020-02-12,14,0,0,1,1,0,0,0,12,0,0,0,1,0,0,0,0
2020-02-13,14,0,0,1,1,0,0,0,12,0,0,0,1,0,0,0,0
2020-02-14,14,0,0,1,1,0,0,0,12,0,0,0,1,0,0,0,0
2020-02-15,14,0,0,1,1,0,0,0,12,0,0,0,1,0,0,0,0
2020-02-16,14,0,0,1,1,0,0,0,12,0,0,0,1,0,0,0,0
2020-02-17,14,0,0,1,1,0,0,0,12,0,0,0,1,0,0,0,0
2020-02-18,14,0,1,1,1,0,0,0,12,0,0,0,1,0,0,0,0
2020-02-19,20,0,11,2,1,0,0,0,12,0,0,0,1,0,2,3,0
2020-02-20,22,8,30,2,1,0,0,0,12,0,0,0,1,0,25,3,0
2020-02-21,27,8,110,2,3,0,0,0,14,0,1,1,2,0,28,7,1
2020-02-22,30,11,193,2,6,2,1,1,20,6,3,1,3,1,145,7,1
2020-02-23,31,19,310,2,8,3,1,1,24,6,3,1,3,1,170,17,2
2020-02-24,35,34,483,2,9,3,2,1,35,6,3,1,3,1,193,20,2
2020-02-25,41,42,543,2,9,3,3,1,42,6,5,2,3,1,249,23,2
2020-02-26,49,58,710,3,9,5,4,1,51,6,5,3,3,1,317,34,2
2020-02-27,56,61,1132,3,9,9,11,1,62,6,8,12,5,1,345,43,2
2020-02-28,62,65,1580,4,9,13,14,1,72,7,9,35,5,1,409,49,2
2020-02-29,77,80,2236,6,9,13,17,1,82,7,10,55,5,3,488,59,2
2020-03-01,87,83,2704,6,9,13,20,1,89,15,11,68,6,3,556,63,2
2020-03-02,91,88,3081,7,9,14,20,1,92,19,11,78,6,5,624,64,2
2020-03-03,98,90,3601,7,11,14,20,1,94,20,11,81,7,5,685,64,3
2020-03-04,99,92,4007,9,13,15,23,1,101,21,11,82,7,4,774,65,3
2020-03-05,103,92,4328,9,13,16,23,1,110,23,12,86,7,4,861,74,4
2020-03-06,105,95,4694,9,13,18,23,1,120,25,15,90,7,4,984,77,4
2020-03-07,108,96,5084,9,13,18,23,2,130,26,20,92,7,4,1049,82,4
2020-03-08,120,96,5381,9,13,18,24,3,141,27,24,98,7,4,1082,83,4
2020-03-09,130,96,5571,9,15,18,24,6,153,28,25,102,7,4,1107,83,4
2020-03-10,141,96,5663,13,15,18,24,8,163,28,25,104,7,4,1117,83,4
2020-03-11,193,98,5794,25,15,18,25,10,175,29,27,112,7,4,1135,84,4
2020-03-12,212,99,5867,25,15,20,25,15,178,29,27,114,7,4,1143,85,4
2020-03-13,225,100,5928,27,15,22,27,32,185,29,27,115,7,4,1147,85,4
2020-03-14,238,103,5990,28,15,22,27,38,200,29,28,115,7,4,1153,85,4
2020-03-15,247,106,6031,30,16,22,28,39,211,29,31,115,7,4,1157,85,4
2020-03-16,253,107,6066,30,16,22,28,40,231,29,31,115,7,4,1164,85,4
2020-03-17,265,107,6098,31,16,22,28,40,262,29,31,115,7,4,1169,86,4
2020-03-18,270,107,6144,32,17,22,30,41,277,30,32,118,9,5,1178,86,4
2020-03-19,282,107,6241,32,17,22,36,41,295,30,33,118,10,5,1190,86,4
2020-03-20,299,108,6275,36,18,22,36,41,309,30,33,119,10,5,1203,87,4
2020-03-21,314,108,6344,40,18,22,36,41,321,30,34,119,10,5,1243,87,4
2020-03-22,324,108,6387,40,19,24,36,41,337,30,35,120,10,6,1254,88,4
2020-03-23,330,109,6411,40,19,24,36,42,351,30,37,120,10,6,1256,89,4
2020-03-24,334,111,6442,41,19,24,36,42,366,30,38,120,10,6,1257,90,4
2020-03-25,347,112,6456,42,19,24,37,44,387,31,38,123,10,8,1262,90,6
2020-03-26,360,112,6482,43,19,30,37,44,401,31,39,124,10,8,1274,90,6
2020-03-27,372,113,6516,46,20,31,39,44,412,31,41,124,10,8,1283,91,7
2020-03-28,390,114,6587,51,20,31,39,44,433,32,41,126,10,8,1285,91,8
2020-03-29,410,117,6610,58,20,34,39,46,448,34,41,127,12,9,1287,94,8
2020-03-30,426,118,6624,58,20,34,39,46,463,36,44,127,13,9,1298,95,9
