,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,누적 합계
2020/1/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/1/21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/1/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/1/23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/1/24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/1/25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/1/26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/1/27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/1/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/1/29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/1/30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/1/31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020/2/19,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11
2020/2/20,0,0,46,0,0,0,0,0,0,0,0,0,0,0,5,0,0,51
2020/2/21,0,0,46,0,1,0,0,0,0,0,1,0,0,0,5,2,0,55
2020/2/22,0,0,160,0,1,0,0,0,0,0,1,0,0,0,5,2,0,169
2020/2/23,0,4,,0,7,0,,,,,,0,0,0,,,0,309
2020/2/24,1,4,377,1,7,0,1,1,8,2,3,0,0,0,38,13,0,456
2020/2/25,2,5,407,1,7,0,1,1,10,2,3,0,0,0,49,13,0,501
2020/2/26,2,6,501,1,7,0,2,1,8,2,3,0,0,0,51,13,0,597
2020/2/27,2,6,622,1,7,0,2,1,10,2,3,0,0,0,62,13,0,731
2020/2/28,2,6,721,1,7,0,4,1,10,2,3,0,0,0,62,13,0,840
2020/2/29,4,8,1356,1,7,0,8,1,13,3,4,0,0,0,133,19,0,1557
2020/3/1,4,8,1877,1,7,0,9,1,14,3,4,0,0,0,162,21,0,2113
2020/3/2,4,9,2136,1,7,0,10,1,16,7,5,0,0,1,197,22,0,2418
2020/3/3,4,9,2383,1,8,0,10,1,16,7,5,0,0,1,229,22,0,2698
2020/3/4,4,10,2583,1,8,0,11,1,18,11,5,0,1,1,315,22,0,2991
2020/3/5,4,11,3013,1,7,0,11,1,18,11,4,0,1,1,348,22,0,3453
2020/3/6,4,11,3397,2,7,2,11,1,23,12,5,0,1,1,420,22,0,3919
2020/3/7,4,11,3716,2,8,2,12,1,23,15,7,0,1,1,466,29,0,4298
2020/3/8,4,11,3882,2,8,2,12,1,23,15,7,0,1,1,485,29,0,4483
2020/3/9,5,11,4007,2,9,2,12,1,23,15,7,0,1,1,492,29,0,4617
2020/3/10,5,11,4085,2,9,2,12,1,26,15,10,0,1,1,500,29,0,4709
2020/3/11,5,11,4096,2,9,2,13,1,26,15,10,0,1,1,502,29,0,4723
2020/3/12,6,11,4126,2,9,2,16,1,27,16,10,0,1,1,503,29,0,4760
2020/3/13,6,11,4144,2,9,2,16,1,27,16,10,0,1,1,506,29,0,4781
2020/3/14,6,11,4359,2,9,2,16,1,29,20,10,0,1,1,517,32,0,5016
2020/3/15,6,11,4359,2,9,2,16,1,29,20,10,0,1,1,517,32,0,5016
2020/3/16,6,11,4359,2,9,2,16,1,29,20,10,0,1,1,517,32,0,5016
2020/3/17,6,11,4363,2,9,2,16,1,29,20,10,0,1,1,517,32,0,5020
2020/3/18,6,11,4363,2,9,2,16,1,29,20,10,0,1,1,517,32,0,5020
2020/3/19,6,11,4368,2,9,2,16,1,29,20,11,0,1,1,519,32,0,5028
2020/3/20,6,11,4369,2,9,2,16,1,29,20,11,0,1,1,519,32,0,5029
2020/3/21,6,11,4369,2,9,2,16,1,29,20,11,0,1,1,527,32,0,5037
2020/3/22,6,11,4381,2,9,2,16,1,29,20,11,0,1,1,528,32,0,5050
2020/3/23,6,11,4383,2,9,2,16,1,29,20,11,0,1,1,530,32,0,5054
2020/3/24,6,11,4383,2,9,2,16,1,29,20,11,0,1,1,541,32,0,5065
2020/3/25,7,11,4387,2,9,2,16,1,29,20,12,0,1,1,551,32,0,5081
2020/3/26,7,11,4391,2,9,2,16,1,29,20,6,0,1,1,554,32,0,5082
2020/3/27,7,11,4391,2,9,2,16,1,29,20,6,0,1,1,554,32,0,5082
2020/3/28,7,11,4400,2,9,2,16,1,29,20,6,0,1,1,555,32,0,5092
2020/3/29,7,11,4400,2,9,2,16,1,29,20,6,0,1,1,555,32,0,5092
2020/3/30,7,12,4467,2,9,2,16,1,29,20,6,0,1,1,559,32,0,5164
2020/3/31,7,12,4468,2,9,2,16,1,29,20,6,0,1,1,559,32,0,5165
2020/4/1,7,12,4477,2,9,2,16,1,29,20,5,0,1,1,559,32,0,5173
2020/4/2,7,12,4477,2,9,2,16,1,29,20,6,0,1,1,562,32,0,5177
2020/4/3,7,12,4478,2,9,2,16,1,29,17,6,0,1,1,562,32,0,5175
2020/4/4,7,12,4480,2,9,2,16,1,29,17,6,0,1,1,562,32,0,5177
2020/4/5,7,12,4506,2,9,2,16,1,29,17,6,0,1,1,566,32,0,5207
2020/4/6,7,12,4507,2,9,2,16,1,29,17,6,0,1,1,566,32,0,5208
2020/4/7,7,12,4508,2,9,2,16,1,29,17,6,0,1,1,566,32,0,5209
2020/4/8,7,12,4508,2,9,2,16,1,29,17,6,0,1,1,566,32,0,5209
2020/4/9,8,12,4508,2,9,2,16,1,29,17,6,0,1,1,566,32,0,5210
2020/4/10,8,12,4508,2,9,2,16,1,29,17,6,0,1,1,566,32,0,5210
2020/4/11,8,12,4508,2,9,2,16,1,29,17,6,0,1,1,566,32,0,5210
2020/4/12,8,12,4508,2,9,2,16,1,29,17,6,0,1,1,566,32,0,5210
